latencyCC,totalMemoryKB,l1i,l1d,l2,uf
59581198,132,2,2,128,8
59433698,134,2,4,128,8
42416612,146,2,16,128,8
42078234,162,2,32,128,8
59343511,136,4,4,128,16
59306017,140,4,8,128,16
42409832,148,4,16,128,16
41969420,164,4,32,128,16
59296471,144,8,8,128,16
42403308,152,8,16,128,16
41969226,168,8,32,128,16
42387518,160,16,16,128,16
41945801,176,16,32,128,16
41933039,304,16,32,256,16
41923846,560,16,32,512,16
41922998,592,16,64,512,16
41936488,192,32,32,128,16
41923699,576,32,32,512,16
41928359,352,64,32,256,16
41925024,384,64,64,256,16
